_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0011,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",6-12,2-3 times a month,,"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Sale or discount offer,A-line; Shirt-style/collar; Peplum,Pure Cotton; Cotton-Linen blend; Rayon,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Florals,3/4th sleeves,,Mid-thigh,Jeans/denim; Cigarette/straight pants; Dhoti pants/tulip pants,Daily college/university wear; Family gatherings/dinners,"Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,"Flat percentage off (e.g., 20% off); First-order discount",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Too expensive for the quality offered; Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0012,23-27,Other,Southeast Asian,,More than 20,Rarely/Never,Instagram/WhatsApp small brands; I don't buy kurtis currently,Instagram/Social media shops,Under 30 AED,New season or collection drop,Anarkali (short flared),No preference,"Neutrals (black, white, beige, grey)",Relaxed/loose fit,,Full sleeves,Boat neck,Just above knee,Palazzo pants; Skirts,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; No major frustrations,Never - I'm confident buying online,Definitely would not,non_customer
R0013,28-34,Student (Postgraduate),Western/European,No personal income,6-12,Weekly,Local UAE stores/boutiques,WhatsApp-based sellers,151-250 AED,Need for daily/work wardrobe refresh,Straight-cut; Kaftan-style,Pure Cotton,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown)",Flared/breezy fit,Stripes/checks,Bell/statement sleeves,V-neck,Knee length,Skirts,"Festivals (Diwali, Eid, etc.)",9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,121-180 AED,Combo price lower than individual total,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos,Rarely - I'm usually okay with online purchases,Definitely would buy,minimalist
R0014,Under 18,Student (School/Undergraduate),South Asian,No personal income,,Weekly,Libas; Local UAE stores/boutiques,Physical stores/malls in UAE,Under 30 AED,Upcoming festival/occasion; Sale or discount offer; Saw something trending on social media,A-line,Pure Cotton,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",,Florals,3/4th sleeves; Short/half sleeves,V-neck,Knee length,Jeans/denim,"Casual outings/errands; Festivals (Diwali, Eid, etc.)","Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",,Free delivery; Buy 2 Get 1 Free; Combo price lower than individual total,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands,"Yes, frequently - it's a major concern",Definitely would buy,campus
R0015,18-22,Student (School/Undergraduate),Arab/Middle Eastern,,6-12,Once a month,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer; Impulse/mood shopping,Anarkali (short flared); Crop kurti,Pure Cotton; Cotton-Linen blend,"Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,,3/4th sleeves,Round neck; V-neck,Knee length; Just above knee,Jeans/denim; Leggings/jeggings; Palazzo pants; Skirts,Daily college/university wear; Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis),80-120 AED,Free delivery; First-order discount,I follow trends closely and love experimenting with new styles,Too expensive for the quality offered; Difficult or costly returns; Can't find good curated sets/bundles; Not enough options for my size,"Yes, frequently - it's a major concern",Might or might not,campus
R0016,18-22,Student (Postgraduate),South Asian,"Under 3,000 AED",,2-3 times a month,Local UAE stores/boutiques; Instagram/WhatsApp small brands; Anouk (Myntra),"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",Under 30 AED,Impulse/mood shopping,Straight-cut; A-line; Crop kurti,Pure Cotton,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Multi-color/prints",Regular/comfort fit,Stripes/checks,3/4th sleeves,Shirt collar,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings,Daily college/university wear; Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis); None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I have a set style - I know what works and stick to it,Limited trendy options for short kurtis,Rarely - I'm usually okay with online purchases,Might or might not,campus
R0017,23-27,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",6-12,Once a month,,"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Impulse/mood shopping,A-line,Rayon,"Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Florals; Solid/plain; Stripes/checks,Full sleeves; 3/4th sleeves; Bell/statement sleeves,V-neck; Shirt collar,,Cigarette/straight pants; Dhoti pants/tulip pants,Casual outings/errands; Weekend/lounging,9-to-5 Edit (3 workwear kurtis),80-120 AED,Free delivery; Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Limited trendy options for short kurtis; Not enough options for my size; No major frustrations,Sometimes - depends on the brand/platform,Definitely would buy,professional
R0018,23-27,Homemaker,South Asian,"Above 20,000 AED",More than 20,Once in 2-3 months,Libas,Physical stores/malls in UAE; Buy from India (trips or family shipments),61-100 AED,Sale or discount offer,Anarkali (short flared),Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Florals,Full sleeves,Keyhole/cut-out,Knee length,Sharara,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Family gatherings/dinners",9-to-5 Edit (3 workwear kurtis),80-120 AED,Buy 2 Get 1 Free; Free delivery,I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos,Sometimes - depends on the brand/platform,Definitely would buy,festive
R0019,23-27,Working Professional,South Asian,"12,001-20,000 AED",13-20,Weekly,Local UAE stores/boutiques; Buy during India visits,Brand websites (D2C online stores),Under 30 AED,Need for daily/work wardrobe refresh,Shirt-style/collar,Pure Cotton; Cotton-Linen blend; Rayon,"Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Geometric/abstract; Block print/Jaipur print; Stripes/checks,Full sleeves,Round neck; V-neck,Just above knee,Palazzo pants; Cigarette/straight pants,"Festivals (Diwali, Eid, etc.)",9-to-5 Edit (3 workwear kurtis),181-250 AED,Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands,"Yes, frequently - it's a major concern",Probably would buy,professional
R0020,23-27,Working Professional,Western/European,"7,001-12,000 AED",1-5,Once a month,Biba; Instagram/WhatsApp small brands,Physical stores/malls in UAE,Above 250 AED,Need for daily/work wardrobe refresh,Straight-cut; A-line; Shirt-style/collar; Crop kurti,Muslin,"Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey)",Relaxed/loose fit,Stripes/checks,3/4th sleeves,V-neck; Boat neck,Knee length,Leggings/jeggings; Cigarette/straight pants,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",Festive Glow (2 embroidered/silk kurtis),121-180 AED,I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Sometimes - depends on the brand/platform,Might or might not,professional
R0021,18-22,Working Professional,South Asian,"3,000-7,000 AED",,Once in 2-3 months,Libas; Biba; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Upcoming festival/occasion; Sale or discount offer; Gift for someone,A-line; Shirt-style/collar; Anarkali (short flared),Silk/Chanderi,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Block print/Jaipur print; Mirror work/sequins,Full sleeves; 3/4th sleeves,Boat neck,Just above knee,Palazzo pants; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.)",Festive Glow (2 embroidered/silk kurtis),181-250 AED,Buy 2 Get 1 Free; First-order discount,I love mixing Indian and Western styles to create my own look,Poor delivery experience to UAE (slow/damaged),"Yes, frequently - it's a major concern",Probably would buy,festive
R0022,18-22,,South Asian,"Under 3,000 AED",None,2-3 times a month,Biba,"Online marketplaces (Amazon, Noon, Namshi); WhatsApp-based sellers",30-60 AED,Upcoming festival/occasion; Saw something trending on social media,Straight-cut; Crop kurti; Kaftan-style,Rayon,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals; Block print/Jaipur print; Solid/plain; Stripes/checks; Digital/contemporary prints,Short/half sleeves,Mandarin/band collar,Knee length,Leggings/jeggings; Cigarette/straight pants,Daily college/university wear; Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Definitely would not,campus
R0023,23-27,Working Professional,Western/European,"Under 3,000 AED",13-20,Only during festivals/occasions,Biba; Local UAE stores/boutiques; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",151-250 AED,Upcoming festival/occasion,Straight-cut; A-line; Shirt-style/collar,Georgette/Chiffon,"Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Geometric/abstract; Embroidered/thread work,Full sleeves,Round neck,Just above knee,,Office/workplace; Casual outings/errands,Festive Glow (2 embroidered/silk kurtis),,,I have a set style - I know what works and stick to it,No major frustrations,Rarely - I'm usually okay with online purchases,Probably would not,professional
R0024,23-27,Self-Employed/Freelancer,South Asian,,6-12,Rarely/Never,Anouk (Myntra); Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,New season or collection drop; Upcoming festival/occasion; Gift for someone,Crop kurti,Pure Cotton; Rayon,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Florals; Block print/Jaipur print; Embroidered/thread work,3/4th sleeves,Boat neck,Knee length,Cigarette/straight pants; Dhoti pants/tulip pants,Office/workplace; Family gatherings/dinners,None - I prefer buying single pieces,,First-order discount,I have a set style - I know what works and stick to it,Difficult or costly returns,Sometimes - depends on the brand/platform,Probably would buy,professional
R0025,23-27,Self-Employed/Freelancer,Western/European,"12,001-20,000 AED",13-20,Only during festivals/occasions,Libas,Physical stores/malls in UAE,Above 250 AED,Saw something trending on social media,Peplum,Silk/Chanderi,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Florals; Mirror work/sequins,Bell/statement sleeves,Round neck; Boat neck,,Jeans/denim; Leggings/jeggings; Dhoti pants/tulip pants; Sharara,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Festive Glow (2 embroidered/silk kurtis),181-250 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,festive
R0026,28-34,Working Professional,South Asian,"12,001-20,000 AED",6-12,2-3 times a month,Local UAE stores/boutiques,Buy from India (trips or family shipments); WhatsApp-based sellers,Above 250 AED,New season or collection drop,Kaftan-style,Pure Cotton,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Block print/Jaipur print,3/4th sleeves; Short/half sleeves,Round neck; Shirt collar,Mid-thigh,Jeans/denim; Palazzo pants; Cigarette/straight pants; Dhoti pants/tulip pants,Office/workplace; Casual outings/errands,None - I prefer buying single pieces,Above 250 AED,I don't need discounts - I buy if I like the product,I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Too expensive for the quality offered,Rarely - I'm usually okay with online purchases,Might or might not,minimalist
R0027,18-22,Student (Postgraduate),South Asian,"3,000-7,000 AED",1-5,2-3 times a month,Meesho/unbranded sellers,Instagram/Social media shops,30-60 AED,Sale or discount offer,A-line,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Stripes/checks; Digital/contemporary prints,Full sleeves; Sleeveless,Round neck,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings,Daily college/university wear; Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited); Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces",80-120 AED,Buy 2 Get 1 Free; Combo price lower than individual total,I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0028,23-27,Other,South Asian,No personal income,6-12,Once in 2-3 months,Libas,Brand websites (D2C online stores); Physical stores/malls in UAE,101-150 AED,Upcoming festival/occasion,Straight-cut; A-line; Anarkali (short flared),Pure Cotton; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Embroidered/thread work,3/4th sleeves; Bell/statement sleeves; Short/half sleeves,Boat neck,Just above knee; Knee length,Palazzo pants; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",None - I prefer buying single pieces,181-250 AED,Buy 2 Get 1 Free; Combo price lower than individual total,I only dress up for occasions - daily wear is minimal effort,Too expensive for the quality offered,Sometimes - depends on the brand/platform,Definitely would not,festive
R0029,23-27,Working Professional,South Asian,"Under 3,000 AED",6-12,Once a month,Libas; W for Woman; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",Under 30 AED,Saw something trending on social media; Impulse/mood shopping,Shirt-style/collar,Muslin,Multi-color/prints,Regular/comfort fit,Mirror work/sequins,Full sleeves; 3/4th sleeves; Bell/statement sleeves,Round neck,Just above knee,Jeans/denim; Palazzo pants,Family gatherings/dinners; Parties/date nights,"9-to-5 Edit (3 workwear kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,,I only dress up for occasions - daily wear is minimal effort,Can't find good curated sets/bundles; No major frustrations,Rarely - I'm usually okay with online purchases,Might or might not,festive
R0030,18-22,Student (Postgraduate),South Asian,"3,000-7,000 AED",6-12,2-3 times a month,Anouk (Myntra); Instagram/WhatsApp small brands; W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",101-150 AED,Sale or discount offer; Saw something trending on social media,,Pure Cotton,"Neutrals (black, white, beige, grey)",Flared/breezy fit,Florals,Sleeveless,V-neck,Mid-thigh,Leggings/jeggings,Parties/date nights,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Free delivery",I prioritize comfort and practicality above everything,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns; Can't find good curated sets/bundles; Not enough options for my size,Never - I'm confident buying online,Probably would not,campus
R0031,28-34,Homemaker,South Asian,"Under 3,000 AED",13-20,Once in 2-3 months,Biba; Buy during India visits,Physical stores/malls in UAE,151-250 AED,Upcoming festival/occasion; Gift for someone,Anarkali (short flared),Rayon; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Embroidered/thread work,Full sleeves; Bell/statement sleeves,Round neck,Just above knee,Jeans/denim; Cigarette/straight pants; Dhoti pants/tulip pants; Sharara,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",Festive Glow (2 embroidered/silk kurtis); 9-to-5 Edit (3 workwear kurtis),181-250 AED,Free delivery; First-order discount,I love mixing Indian and Western styles to create my own look,Too expensive for the quality offered,Never - I'm confident buying online,Definitely would buy,festive
R0032,18-22,Working Professional,South Asian,,1-5,Only during festivals/occasions,Libas; Meesho/unbranded sellers; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",Under 30 AED,Upcoming festival/occasion,A-line; Asymmetric/high-low hem,Cotton-Linen blend,,Relaxed/loose fit,Florals; Block print/Jaipur print; Solid/plain; Digital/contemporary prints,,Shirt collar,Hip length (above mid-thigh),Jeans/denim,Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis),Under 80 AED,"Flat percentage off (e.g., 20% off); First-order discount; I don't need discounts - I buy if I like the product",I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos; Too expensive for the quality offered; Not enough options for my size; No major frustrations,Never - I'm confident buying online,Definitely would buy,campus
R0033,18-22,Other,Western/European,No personal income,6-12,Rarely/Never,Anouk (Myntra); Buy during India visits; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",30-60 AED,Sale or discount offer; Gift for someone; Impulse/mood shopping,Straight-cut,Pure Cotton; Georgette/Chiffon,"Neutrals (black, white, beige, grey)",Relaxed/loose fit,Florals; Geometric/abstract; Block print/Jaipur print; Solid/plain,Short/half sleeves,Boat neck; Shirt collar; Keyhole/cut-out,Knee length,Jeans/denim,Daily college/university wear,Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0034,23-27,Student (School/Undergraduate),Southeast Asian,"3,000-7,000 AED",6-12,Only during festivals/occasions,Buy during India visits,Physical stores/malls in UAE,61-100 AED,Impulse/mood shopping,Straight-cut,Silk/Chanderi; No preference,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Digital/contemporary prints,Full sleeves,,Knee length,Leggings/jeggings; Cigarette/straight pants,Office/workplace; I don't wear kurtis currently,None - I prefer buying single pieces,181-250 AED,First-order discount,I only dress up for occasions - daily wear is minimal effort,No major frustrations,Sometimes - depends on the brand/platform,Definitely would not,non_customer
R0035,23-27,Student (School/Undergraduate),South Asian,"12,001-20,000 AED",6-12,Once in 2-3 months,,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",61-100 AED,Sale or discount offer,Shirt-style/collar,No preference,"Pastels (peach, lavender, mint, blush)",Regular/comfort fit,Solid/plain,Sleeveless,Shirt collar,,Sharara,I don't wear kurtis currently,"Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,Combo price lower than individual total,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; No major frustrations,Sometimes - depends on the brand/platform,Definitely would not,non_customer
